date,time,operator,flight_number,route,aircraft_type,registration,cn_ln,ground,summary,region,country,operator_type,tot_boarded_count,tot_passengers_boarded,tot_crews_boarded,tot_fatalities_count,passengers_fatalities,tot_crews_fatalities,reason
"September 17, 1908",17:18,Military - U.S. Army,-,Demonstration,Wright Flyer III,-,1,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",Fort Myer, Virginia,Military,2.0,1.0,1.0,1.0,1.0,0.0,engine failure
"September 07, 1909",00:00,-,-,Air show,Wright Byplane,SC1,-,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show.",Juvisy-sur-Orge, France,Commercial,1.0,0.0,1.0,1.0,0.0,0.0,unknown
"July 12, 1912",06:30,Military - U.S. Navy,-,Test flight,Dirigible,-,-,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",Atlantic City, New Jersey,Military,5.0,0.0,5.0,5.0,0.0,5.0,unknown
"August 06, 1913",00:00,Private,-,-,Curtiss seaplane,-,-,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",Victoria British Columbia ,Canada,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"September 09, 1913",18:30,Military - German Navy,-,-,Zeppelin L-1 (airship),-,-,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,Over the North Sea,-,Military,20.0,,,14.0,,,weather
"October 17, 1913",10:30,Military - German Navy,-,-,Zeppelin L-2 (airship),-,-,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",Near Johannisthal, Germany,Military,30.0,,,30.0,,,engine failure
"March 05, 1915",01:00,Military - German Navy,-,-,Zeppelin L-8 (airship),-,-,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.,Tienen, Belgium,Military,41.0,,,21.0,,,shot down - military
"September 03, 1915",15:20,Military - German Navy,-,-,Zeppelin L-10 (airship),-,-,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",Off Cuxhaven, Germany,Military,19.0,,,19.0,,,weather
"July 28, 1916",00:00,Military - German Army,-,-,Schutte-Lanz S-L-10 (airship),-,-,0,"Crashed near the Black Sea, cause unknown.",Near Jambol, Bulgeria,Military,20.0,,,20.0,,,unknown
"September 24, 1916",01:00,Military - German Navy,-,-,Zeppelin L-32 (airship),-,-,0,Shot down by British aircraft crashing in flames.,Billericay, England,Military,22.0,,,22.0,,,unknown
"October 01, 1916",23:45,Military - German Navy,-,-,Zeppelin L-31 (airship),-,-,0,Shot down in flames by the British 39th Home Defence Squadron.,Potters Bar, England,Military,19.0,0.0,19.0,19.0,0.0,19.0,unknown
"November 21, 1916",00:00,Military - German Army,-,-,Super Zeppelin (airship),-,-,0,Crashed in a storm.,Mainz, Germany,Military,28.0,,,27.0,,,weather
"November 28, 1916",23:45,Military - German Navy,-,-,Zeppelin L-34 (airship),-,-,0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,Off West Hartlepool, England,Military,20.0,,,20.0,,,unknown
"March 04, 1917",00:00,Military - German Army,-,-,Airship,-,-,0,Caught fire and crashed.,Near Gent, Belgium,Military,20.0,,,20.0,,,unknown
"March 30, 1917",00:00,Military - German Navy,-,-,Schutte-Lanz S-L-9 (airship),-,-,0,Struck by lightning and crashed into the Baltic Sea.,Off Northern Germany,-,Military,23.0,,,23.0,,,weather
"May 14, 1917",05:15,Military - German Navy,-,-,Zeppelin L-22 (airship),-,-,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire.",Near Texel Island, North Sea,Military,21.0,,,21.0,,,unknown
"June 14, 1917",08:45,Military - German Navy,-,-,Zeppelin L-43 (airship),-,-,0,Shot down by British aircraft.,Off Vlieland Island, North Sea,Military,24.0,,,24.0,,,unknown
"June 17, 1917",00:00,-,-,-,Zepplin LZ-95 (air ship),L-48,-,0,Shot down by aircraft.,Near Yarmouth, England,Commercial,16.0,,,14.0,,,unknown
"August 21, 1917",07:00,Military - German Navy,-,-,Zeppelin L-23 (airship),-,-,0,Shot down by British aircraft.,Off western Denmark,-,Military,18.0,,,18.0,,,unknown
"October 20, 1917",07:45,Military - German Navy,-,-,Zeppelin L-44 (airship),-,-,0,Shot down by French anti-aircraft fire.,Near Luneville, France,Military,18.0,,,18.0,,,unknown
"April 07, 1918",21:30,Military - German Navy,-,-,Zeppelin L-59 (airship),-,-,0,Exploded and crashed into the sea off the southern coast of Italy.,Over the Mediterranean,-,Military,23.0,,,23.0,,,unknown
"May 10, 1918",00:00,Military - German Navy,-,-,Zeppelin L-70 (airship),-,-,0,"Shot down by British aircraft crashing from a height of 17,000 ft.",Off Helgoland Island, Germany,Military,22.0,,,22.0,,,unknown
"August 11, 1918",10:00,Military - German Navy,-,-,Zeppelin L-53 (airship),-,-,0,Shot down by british aircraft.,Ameland Island, North Sea,Military,19.0,,,19.0,,,unknown
"December 16, 1918",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,97,-,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.,Elizabeth, New Jersey,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,landing or taking off
"May 25, 1919",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,61,-,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.,Cleveland, Ohio,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"July 19, 1919",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,82,-,0,-,Dix Run, Pennsylvania,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
